,device,mouse,date,weight,Weight gain,Weight gain per phase,Avg change,cage,day,device_w,device gain,Filtered device gain,Calories,notes,New hopper weights,Notes,,,,,,
,3,M7,19-Feb,34.9,0.43,,,,22,479.72,2.89,2.89,15.1436,Fr1 with HFD,,,,,,,,
,4,M8,19-Feb,35.13,0.5,,,,22,462.86,3.11,3.11,16.2964,Fr1 with HFD,,,,,,,,
,5,M9,19-Feb,31.71,0.71,,,,22,471.44,2.96,2.96,15.5104,Free with HFD,,,,,,,,
,6,M10,19-Feb,26.39,-0.13,,,,22,470.86,2.98,2.98,15.6152,Free with HFD,,,,,,,,
,7,M11,19-Feb,28.14,-0.13,,,,22,356.79,3.32,3.32,17.3968,Free with HFD,,,,,,,,
,8,M12,19-Feb,23.43,-0.21,,,,22,420.01,1.98,1.98,10.3752,Fr1 with HFD,,,,,,,,
,9,M13,19-Feb,28.89,0.69,,,,22,325.33,2.41,2.41,12.6284,Fr1 with HFD,,,,,,,,
,0,M14,19-Feb,26,-0.17,,,,22,347.72,2.07,2.07,10.8468,Fr1 with HFD,,,,,,,,
,1,M5,20-Feb,36.52,0.76,,,,23,458.36,2.65,2.65,13.886,Free with HFD,Avg BW gain,,,,,,,
,2,M6,20-Feb,37.9,-0.2,,,,23,394.89,3.85,3.85,20.174,Free with HFD,Free,FR1,,,,,,
,3,M7,20-Feb,35.43,0.53,,,,23,475.87,3.85,3.85,20.174,Fr1 with HFD,0.038,0.092,,,,,,
,4,M8,20-Feb,35.13,0,,,,23,460.62,2.24,2.24,11.7376,Fr1 with HFD,,,,,,,,
,5,M9,20-Feb,31.74,0.03,,,,23,467.64,3.8,3.8,19.912,Free with HFD,Avg cal intake,,,,,,,
,6,M10,20-Feb,26.72,0.33,,,,23,469.99,0.87,,#VALUE!,Free with HFD,Free,FR1,,,,,,
,7,M11,20-Feb,27.41,-0.73,,,,23,353.73,3.06,3.06,16.0344,Free with HFD,#VALUE!,16.11824,,,,,,
,8,M12,20-Feb,23.33,-0.1,,,,23,416.97,3.04,3.04,15.9296,Fr1 with HFD,,,,,,,,
,9,M13,20-Feb,28.68,-0.21,,,,23,321.83,3.5,3.5,18.34,Fr1 with HFD,,,,,,,,
,0,M14,20-Feb,26.24,0.24,,,,23,344.97,2.75,2.75,14.41,Fr1 with HFD,,,,,,,,
,1,M5,21-Feb,36.62,0.1,,,,24,454.71,3.65,3.65,19.126,Free with HFD,Avg BW gain,,,,,,,
,2,M6,21-Feb,39.03,1.13,,,,24,390.46,4.43,4.43,23.2132,Free with HFD,Free,FR1,,,,,,
,3,M7,21-Feb,35.4,-0.03,,,,24,472.99,2.88,2.88,15.0912,Fr1 with HFD,0.632,0.272,,,,,,
,4,M8,21-Feb,35.72,0.59,,,,24,457.47,3.15,3.15,16.506,Fr1 with HFD,,,,,,,,
,5,M9,21-Feb,32.65,0.91,,,,24,464.23,3.41,3.41,17.8684,Free with HFD,Avg cal intake,,,,,,,
,6,M10,21-Feb,26.8,0.08,,,,24,467.49,2.5,2.5,13.1,Free with HFD,Free,FR1,,,,,,
,7,M11,21-Feb,28.35,0.94,,,,24,350.61,3.12,3.12,16.3488,Free with HFD,17.93128,13.28864,,,,,,
,8,M12,21-Feb,23.82,0.49,,,,24,414.31,2.66,2.66,13.9384,Fr1 with HFD,,,,,,,,
,9,M13,21-Feb,28.71,0.03,,,,24,319.7,2.13,2.13,11.1612,Fr1 with HFD,,,,,,,,
,0,M14,21-Feb,26.52,0.28,,,,24,343.11,1.86,1.86,9.7464,Fr1 with HFD,,,,,,,,
,1,M5,22-Feb,37.26,0.64,,,,25,451.72,2.99,2.99,15.6676,Free with HFD,,,,,,,,
,2,M6,22-Feb,40.15,1.12,,,,25,385.81,4.65,4.65,24.366,Free with HFD,,,,,,,,
,3,M7,22-Feb,35.56,0.16,,,,25,470.67,2.32,2.32,12.1568,Fr1 with HFD,,,,,,,,
,4,M8,22-Feb,36.03,0.31,,,,25,454.72,2.75,2.75,14.41,Fr1 with HFD,,,,,,,,
,5,M9,22-Feb,32.74,0.09,,,,25,461.17,3.06,3.06,16.0344,Free with HFD,,,,,,,,
,6,M10,22-Feb,26.01,-0.79,,,,25,465.81,1.68,1.68,8.8032,Free with HFD,Switched to FR1 for the night on accident,,,,,,,
,7,M11,22-Feb,28.28,-0.07,,,,25,348.16,2.45,2.45,12.838,Free with HFD,,,,,,,,
,8,M12,22-Feb,23.51,-0.31,,,,25,412.65,1.66,1.66,8.6984,Fr1 with HFD,,,,,,,,
,9,M13,22-Feb,29.39,0.68,,,,25,316.54,3.16,3.16,16.5584,Fr1 with HFD,,,,,,,,
,0,M14,22-Feb,26.69,0.17,,,,25,340.61,2.5,2.5,13.1,Fr1 with HFD,,,,,,,,
,1,M5,23-Feb,37.68,0.42,,,,26,448.46,3.26,3.26,17.0824,Free with HFD,477.68,,,,,,,
,2,M6,23-Feb,40.58,0.43,,,,26,381.9,3.91,3.91,20.4884,Free with HFD,419.74,,,,,,,
,3,M7,23-Feb,35.99,0.43,,,,26,467.49,3.18,3.18,16.6632,Fr1 with HFD,490.12,,,,,,,
,4,M8,23-Feb,36.52,0.49,,,,26,451.14,3.58,3.58,18.7592,Fr1 with HFD,490.85,,,,,,,
,5,M9,23-Feb,32.72,-0.02,,,,26,457.64,3.53,3.53,18.4972,Free with HFD,462.75,,,,,,,
,6,M10,23-Feb,26.31,0.3,,,,26,463.25,2.56,2.56,13.4144,Free with HFD,491.65,,,,,,,
,7,M11,23-Feb,28.34,0.06,,,,26,345.64,2.52,2.52,13.2048,Free with HFD,367.38,,,,,,,
,8,M12,23-Feb,23.43,-0.08,,,,26,410.61,2.04,2.04,10.6896,Fr1 with HFD,445.25,,,,,,,
,9,M13,23-Feb,28.9,-0.49,,,,26,314.22,2.32,2.32,12.1568,Fr1 with HFD,338.23,,,,,,,
,0,M14,23-Feb,26.41,-0.28,,,,26,338.48,2.13,2.13,11.1612,Fr1 with HFD,361.87,,,,,,,
,1,M5,24-Feb,38,0.32,,8.515,6.603,27,474,3.68,3.68,19.2832,Free with HFD,,,,,,,,
,2,M6,24-Feb,41.03,0.45,,9.88,3.586,27,415.41,4.33,4.33,22.6892,Free with HFD,,,,,,,,
,3,M7,24-Feb,36.81,0.82,,6.16,,27,485.78,4.34,4.34,22.7416,Fr1 with HFD,,,,,,,,
,4,M8,24-Feb,37.1,0.58,,6.32,,27,487.9,2.95,2.95,15.458,Fr1 with HFD,,,,,,,,
,5,M9,24-Feb,33.34,0.62,,6.66,,27,488.6,-25.85,,#VALUE!,Free with HFD,,,,,,,,
,6,M10,24-Feb,26.6,0.29,,2.93,,27,488.9,2.75,2.75,14.41,Free with HFD,,,,,,,,
,7,M11,24-Feb,29,0.66,,5.03,,27,363,4.38,4.38,22.9512,Free with HFD,,,,,,,,
,8,M12,24-Feb,23.8,0.37,,0.14,,27,442.62,2.63,2.63,13.7812,Fr1 with HFD,,,,,,,,
,9,M13,24-Feb,29.4,0.5,,2.42,,27,335.4,2.83,2.83,14.8292,Fr1 with HFD,,,,,,,,
,0,M14,24-Feb,26.7,0.29,,2.89,,27,359.25,2.62,2.62,13.7288,Fr1 with HFD,,,,,,,,
,1,M5,25-Feb,38.01,0.01,,,,28,470.79,3.21,3.21,16.8204,Free with HFD,,,,,,,,
,2,M6,25-Feb,41.56,0.53,,,,28,411.84,3.57,3.57,18.7068,Free with HFD,,,,,,,,
,3,M7,25-Feb,36.97,0.16,,,,28,482.54,3.24,3.24,16.9776,Fr1 with HFD,,,,,,,,
,4,M8,25-Feb,36.55,-0.55,,,,28,485.34,2.56,2.56,13.4144,Fr1 with HFD,,,,,,,,
,5,M9,25-Feb,34.78,1.44,,,,28,484.5,4.1,4.1,21.484,Free with HFD,,,,,,,,
,6,M10,25-Feb,26.59,-0.01,,,,28,486.52,2.38,2.38,12.4712,Free with HFD,,,,,,,,
,7,M11,25-Feb,29,0,,,,28,360.78,2.22,2.22,11.6328,Free with HFD,,,,,,,,
,8,M12,25-Feb,23.65,-0.15,,,,28,440.55,2.07,2.07,10.8468,Fr1 with HFD,,,,,,,,
,9,M13,25-Feb,29.63,0.23,,,,28,330.03,5.37,5.37,28.1388,Fr1 with HFD,,,,,,,,
,0,M14,25-Feb,27.15,0.45,,,,28,356.54,2.71,2.71,14.2004,Fr1 with HFD,,,,,,,,
,1,M5,26-Feb,38.45,0.44,,,,29,467.5,3.29,3.29,17.2396,Free with HFD,,,,,,,,
,2,M6,26-Feb,41.98,0.42,,,,29,408.21,3.63,3.63,19.0212,Free with HFD,,,,,,,,
,3,M7,26-Feb,36.89,-0.08,,,,29,479.75,2.79,2.79,14.6196,Fr1 with HFD,,,,,,,,
,4,M8,26-Feb,37.2,0.65,,,,29,479.55,5.79,5.79,30.3396,Fr1 with HFD,,,,,,,,
,5,M9,26-Feb,34.32,-0.46,,,,29,480.9,3.6,3.6,18.864,Free with HFD,,,,,,,,
,6,M10,26-Feb,26.62,0.03,,,,29,483.42,3.1,3.1,16.244,Free with HFD,,,,,,,,
,7,M11,26-Feb,29.38,0.38,,,,29,357.5,3.28,3.28,17.1872,Free with HFD,,,,,,,,
,8,M12,26-Feb,23.89,0.24,,,,29,437.9,2.65,2.65,13.886,Fr1 with HFD,,,,,,,,
,9,M13,26-Feb,29.51,-0.12,,,,29,330.63,-0.6,,#VALUE!,Fr1 with HFD,,,,,,,,
,0,M14,26-Feb,27.24,0.09,,,,29,353.98,2.56,2.56,13.4144,Fr1 with HFD,,,,,,,,
,1,M5,27-Feb,39.23,0.78,,,,30,,467.5,467.5,2449.7,Free with HFD,,,,,,,,
,2,M6,27-Feb,42.66,0.68,,,,30,,408.21,408.21,2139.0204,Free with HFD,,,,,,,,
,3,M7,27-Feb,37.46,0.57,,,,30,,479.75,479.75,2513.89,Fr1 with HFD,,,,,,,,
,4,M8,27-Feb,36.34,-0.86,,,,30,,479.55,479.55,2512.842,Fr1 with HFD,,,,,,,,
,5,M9,27-Feb,35.42,1.1,,,,30,,480.9,480.9,2519.916,Free with HFD,,,,,,,,
,6,M10,27-Feb,26.75,0.13,,,,30,,483.42,483.42,2533.1208,Free with HFD,,,,,,,,
,7,M11,27-Feb,29.85,0.47,,,,30,,357.5,357.5,1873.3,Free with HFD,,,,,,,,
,8,M12,27-Feb,24.03,0.14,,,,30,,437.9,437.9,2294.596,Fr1 with HFD,,,,,,,,
,9,M13,27-Feb,29.03,-0.48,,,,30,,330.63,330.63,1732.5012,Fr1 with HFD,,,,,,,,
,0,M14,27-Feb,27.5,0.26,,,,30,,353.98,353.98,1854.8552,Fr1 with HFD,,,,,,,,
,1,M5,1-Mar,40.56,1.33,,,,33,,0,,#VALUE!,Free with HFD,,,,,,,,
,2,M6,1-Mar,44.42,1.76,,,,33,,0,,#VALUE!,Free with HFD,,,,,,,,
,3,M7,1-Mar,38.52,1.06,,,,33,,0,,#VALUE!,Fr1 with HFD,,,,,,,,
,4,M8,1-Mar,37.5,1.16,,,,33,,0,,#VALUE!,Fr1 with HFD,,,,,,,,
,5,M9,1-Mar,36.31,0.89,,,,33,,0,,#VALUE!,Free with HFD,,,,,,,,
,6,M10,1-Mar,27.73,0.98,,,,33,,0,,#VALUE!,Free with HFD,,,,,,,,
,7,M11,1-Mar,30.68,0.83,,,,33,,0,,#VALUE!,Free with HFD,,,,,,,,
,8,M12,1-Mar,24.3,0.27,,,,33,,0,,#VALUE!,Fr1 with HFD,,,,,,,,
,9,M13,1-Mar,29.96,0.93,,,,33,,0,,#VALUE!,Fr1 with HFD,,,,,,,,
,0,M14,1-Mar,28.01,0.51,,,,33,,0,,#VALUE!,Fr1 with HFD,,,,,,,,
,1,M5,4-Mar,41.15,0.59,,,,36,,0,,#VALUE!,Free with HFD,,,,,,,,
,2,M6,4-Mar,45.03,0.61,,,,36,,0,,,Free with HFD,,,,,,,,
,3,M7,4-Mar,38.98,0.46,,,,36,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,4-Mar,38.03,0.53,,,,36,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,4-Mar,37.16,0.85,,,,36,,0,,,Free with HFD,,,,,,,,
,6,M10,4-Mar,29.42,1.69,,,,36,,0,,,Free with HFD,,,,,,,,
,7,M11,4-Mar,31.21,0.53,,,,36,,0,,,Free with HFD,,,,,,,,
,8,M12,4-Mar,24.52,0.22,,,,36,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,4-Mar,29.83,-0.13,,,,36,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,4-Mar,28.82,0.81,,,,36,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,8-Mar,38.89,-2.26,,,,40,,0,,,Free with HFD,"Lost weight, maybe food got stuck in tumbler",,,,,,,
,2,M6,8-Mar,47.01,1.98,,,,40,,0,,,Free with HFD,,,,,,,,
,3,M7,8-Mar,40,1.02,,,,40,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,8-Mar,37.87,-0.16,,,,40,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,8-Mar,39.44,2.28,,,,40,,0,,,Free with HFD,,,,,,,,
,6,M10,8-Mar,30.98,1.56,,,,40,,0,,,Free with HFD,,,,,,,,
,7,M11,8-Mar,33.37,2.16,,,,40,,0,,,Free with HFD,,,,,,,,
,8,M12,8-Mar,24.98,0.46,,,,40,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,8-Mar,30.03,0.2,,,,40,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,8-Mar,29.99,1.17,,,,40,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,11-Mar,41.71,2.82,1.314,,,43,,0,,,Free with HFD,,,,,,,,
,2,M6,11-Mar,48.31,1.3,0.696,,,43,,0,,,Free with HFD,,,,,,,,
,3,M7,11-Mar,41.29,1.29,,,,43,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,11-Mar,38.28,0.41,,,,43,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,11-Mar,40,0.56,,,,43,,0,,,Free with HFD,,,,,,,,
,6,M10,11-Mar,32.24,1.26,,,,43,,0,,,Free with HFD,,,,,,,,
,7,M11,11-Mar,34,0.63,,,,43,,0,,,Free with HFD,,,,,,,,
,8,M12,11-Mar,25.1,0.12,,,,43,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,11-Mar,31.58,1.55,,,,43,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,11-Mar,30.1,0.11,,,,43,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,15-Mar,43.98,2.27,,,,47,,0,,,Free with HFD,,,,,,,,
,2,M6,15-Mar,50.38,2.07,,,,47,,0,,,Free with HFD,,,,,,,,
,3,M7,15-Mar,41.97,0.68,,,,47,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,15-Mar,38.98,0.7,,,,47,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,15-Mar,41.81,1.81,,,,47,,0,,,Free with HFD,,,,,,,,
,6,M10,15-Mar,33.02,0.78,,,,47,,0,,,Free with HFD,,,,,,,,
,7,M11,15-Mar,35.01,1.01,,,,47,,0,,,Free with HFD,,,,,,,,
,8,M12,15-Mar,25.97,0.87,,,,47,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,15-Mar,31.03,-0.55,,,,47,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,15-Mar,30.87,0.77,,,,47,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,18-Mar,44.97,0.99,,,,50,,0,,,Free with HFD,,,,,,,,
,2,M6,18-Mar,51.52,1.14,,,,50,,0,,,Free with HFD,,,,,,,,
,3,M7,18-Mar,41.55,-0.42,,,,50,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,18-Mar,39.25,0.27,,,,50,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,18-Mar,42.83,1.02,,,,50,,0,,,Free with HFD,,,,,,,,
,6,M10,18-Mar,33.54,0.52,,,,50,,0,,,Free with HFD,,,,,,,,
,7,M11,18-Mar,35.23,0.22,,,,50,,0,,,Free with HFD,,,,,,,,
,8,M12,18-Mar,25.32,-0.65,,,,50,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,18-Mar,31.55,0.52,,,,50,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,18-Mar,30.97,0.1,,,,50,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,22-Mar,46.12,1.15,,,,54,,0,,,Free with HFD,,,,,,,,
,2,M6,22-Mar,52.65,1.13,,,,54,,0,,,Free with HFD,,,,,,,,
,3,M7,22-Mar,42.17,0.62,,,,54,,0,,,Fr1 with HFD,,,,,,,,
,4,M8,22-Mar,39.49,0.24,,,,54,,0,,,Fr1 with HFD,,,,,,,,
,5,M9,22-Mar,43.84,1.01,,,,54,,0,,,Free with HFD,,,,,,,,
,6,M10,22-Mar,34.6,1.06,,,,54,,0,,,Free with HFD,,,,,,,,
,7,M11,22-Mar,36.03,0.8,,,,54,,0,,,Free with HFD,,,,,,,,
,8,M12,22-Mar,25.43,0.11,,,,54,,0,,,Fr1 with HFD,,,,,,,,
,9,M13,22-Mar,32.01,0.46,,,,54,,0,,,Fr1 with HFD,,,,,,,,
,0,M14,22-Mar,31.67,0.7,,,,54,,0,,,Fr1 with HFD,,,,,,,,
,1,M5,25-Mar,48.81,2.69,,,,57,,0,,,Fr1 with HFD,Groups Switched 3/25/2024,,,,,,,
,2,M6,25-Mar,52.98,0.33,,,,57,,0,,,Fr1 with HFD,,,,,,,,
,3,M7,25-Mar,43.38,1.21,,,,57,,0,,,Free with HFD,,,,,,,,
,4,M8,25-Mar,40.03,0.54,,,,57,,0,,,Free with HFD,,,,,,,,
,5,M9,25-Mar,46,2.16,,,,57,,0,,,Fr1 with HFD,,,,,,,,
,6,M10,25-Mar,35.73,1.13,,,,57,,0,,,Fr1 with HFD,,,,,,,,
,7,M11,25-Mar,36.65,0.62,,,,57,,0,,,Fr1 with HFD,,,,,,,,
,8,M12,25-Mar,25.64,0.21,,,,57,,0,,,Free with HFD,,,,,,,,
,9,M13,25-Mar,32.48,0.47,,,,57,,0,,,Free with HFD,,,,,,,,
,0,M14,25-Mar,32.14,0.47,,,,57,,0,,,Free with HFD,,,,,,,,
,1,M5,26-Mar,47.99,-0.82,,,,58,,0,,,Fr1 with HFD,,,,,,,,
,2,M6,26-Mar,51.79,-1.19,,,,58,,0,,,Fr1 with HFD,,,,,,,,
,3,M7,26-Mar,45.87,2.49,,,,58,,0,,,Free with HFD,,,,,,,,
,4,M8,26-Mar,41.7,1.67,,,,58,,0,,,Free with HFD,,,,,,,,
,5,M9,26-Mar,44.27,-1.73,,,,58,,0,,,Fr1 with HFD,,,,,,,,
,6,M10,26-Mar,34.98,-0.75,,,,58,,0,,,Fr1 with HFD,,,,,,,,
,7,M11,26-Mar,35.67,-0.98,,,,58,,0,,,Fr1 with HFD,,,,,,,,
,8,M12,26-Mar,27,1.36,,,,58,,0,,,Free with HFD,,,,,,,,
,9,M13,26-Mar,33.46,0.98,,,,58,,0,,,Free with HFD,,,,,,,,
,0,M14,26-Mar,32.67,0.53,,,,58,,0,,,Free with HFD,,,,,,,,
,1,M5,27-Mar,46.51,-1.48,,,,59,,0,,,Fr1 with HFD,,,,,,,,
,2,M6,27-Mar,50.43,-1.36,,,,59,,0,,,Fr1 with HFD,,,,,,,,
,3,M7,27-Mar,46.26,0.39,,,,59,,0,,,Free with HFD,,,,,,,,
,4,M8,27-Mar,42.55,0.85,,,,59,,0,,,Free with HFD,,,,,,,,
,5,M9,27-Mar,42.28,-1.99,,,,59,,0,,,Fr1 with HFD,,,,,,,,
,6,M10,27-Mar,33.52,-1.46,,,,59,,0,,,Fr1 with HFD,,,,,,,,
,7,M11,27-Mar,34.33,-1.34,,,,59,,0,,,Fr1 with HFD,,,,,,,,
,8,M12,27-Mar,27.19,0.19,,,,59,,0,,,Free with HFD,,,,,,,,
,9,M13,27-Mar,33.49,0.03,,,,59,,0,,,Free with HFD,,,,,,,,
,0,M14,27-Mar,33.03,0.36,,,,59,,0,,,Free with HFD,,Average Food Intake Before Swap,L Touches,Feed Touches,,,,
,1,M5,28-Mar,47.37,0.86,,,,60,449.72,-449.72,,,Fr1 with HFD,Free,3.845818182,60,1480,,,,
,2,M6,28-Mar,49.01,-1.42,,,,60,384.82,-384.82,,,Fr1 with HFD,FR1,3.252,29,209,,,,
,3,M7,28-Mar,46.98,0.72,,,,60,448.36,-448.36,,,Free with HFD,,After Swap,50,940,,,,
,4,M8,28-Mar,42.58,0.03,,,,60,446.12,-446.12,,,Free with HFD,Free,2.632,,,,,,
,5,M9,28-Mar,41.57,-0.71,,,,60,461.87,-461.87,,,Fr1 with HFD,FR1,1.344,40,148,,,,
,6,M10,28-Mar,33,-0.52,,,,60,460.99,-460.99,,,Fr1 with HFD,,,40,421,,,,
,7,M11,28-Mar,33.88,-0.45,,,,60,340.87,-340.87,,,Fr1 with HFD,,,23,639,,,,
,8,M12,28-Mar,27.59,0.4,,,,60,400.25,-400.25,,,Free with HFD,,,,829,,,,
,9,M13,28-Mar,34.85,1.36,,,,60,302.33,-302.33,,,Free with HFD,,,,1114,,,,
,0,M14,28-Mar,33.27,0.24,,,,60,317.58,-317.58,,,Free with HFD,,,,,,,,
,1,M5,29-Mar,46.78,-0.59,,,,61,447.55,2.17,2.17,,Fr1 with HFD,469.73,,,,,,,
,2,M6,29-Mar,48.02,-0.99,,,,61,383.99,0.83,,,Fr1 with HFD,401.31,,36,260,,,,
,3,M7,29-Mar,47,0.02,,,,61,444,4.36,4.36,,Free with HFD,472.22,,64,1184,,,,
,4,M8,29-Mar,43.4,0.82,,,,61,443.69,2.43,2.43,,Free with HFD,477,,39,,,,,
,5,M9,29-Mar,40.44,-1.13,,,,61,461.31,0.56,,,Fr1 with HFD,478.87,,46,176,,,,
,6,M10,29-Mar,32.5,-0.5,,,,61,459.67,1.32,1.32,,Fr1 with HFD,482.78,,52,606,,,,
,7,M11,29-Mar,33.73,-0.15,,,,61,339.03,1.84,1.84,,Fr1 with HFD,353.86,,30,948,,,,
,8,M12,29-Mar,28.19,0.6,,,,61,398.03,2.22,2.22,,Free with HFD,421.46,,77,1061,,,,
,9,M13,29-Mar,34.76,-0.09,,,,61,300.16,2.17,2.17,,Free with HFD,334.38,,82,1377,,,,
,0,M14,29-Mar,33.29,0.02,,,,61,315.6,1.98,1.98,,Free with HFD,333.12,,50,,,,,
,1,M5,30-Mar,46.86,0.08,,,,62,467.03,2.7,2.7,,Fr1 with HFD,,,,,,,,
,2,M6,30-Mar,47.37,-0.65,,,,62,399.97,1.34,1.34,,Fr1 with HFD,,,,,,,,
,3,M7,30-Mar,47.81,0.81,,,,62,469.42,2.8,2.8,,Free with HFD,,,,,,,,
,4,M8,30-Mar,43.01,-0.39,,,,62,473.97,3.03,3.03,,Free with HFD,,,,,,,,
,5,M9,30-Mar,39.85,-0.59,,,,62,477.82,1.05,1.05,,Fr1 with HFD,,,,,,,,
,6,M10,30-Mar,32.47,-0.03,,,,62,481.29,1.49,1.49,,Fr1 with HFD,,,,,,,,
,7,M11,30-Mar,34.28,0.55,,,,62,351.43,2.43,2.43,,Fr1 with HFD,,,,,,,,
,8,M12,30-Mar,27.98,-0.21,,,,62,418.97,2.49,2.49,,Free with HFD,,,,,,,,
,9,M13,30-Mar,34.56,-0.2,,,,62,331.7,2.68,2.68,,Free with HFD,,,,,,,,
,0,M14,30-Mar,33.79,0.5,,,,62,330.64,2.48,2.48,,Free with HFD,,,,,,,,
,1,M5,31-Mar,47.03,0.17,,,,63,464.13,2.9,2.9,,Fr1 with HFD,,,,,,,,
,2,M6,31-Mar,46.02,-1.35,,,,63,398.97,1,,,Fr1 with HFD,,,,,,,,
,3,M7,31-Mar,47.23,-0.58,,,,63,466.72,2.7,2.7,,Free with HFD,,,,,,,,
,4,M8,31-Mar,42.73,-0.28,,,,63,471.71,2.26,2.26,,Free with HFD,,,,,,,,
,5,M9,31-Mar,39.55,-0.3,,,,63,476.12,1.7,1.7,,Fr1 with HFD,,,,,,,,
,6,M10,31-Mar,31.43,-1.04,,,,63,479.84,1.45,1.45,,Fr1 with HFD,,,,,,,,
,7,M11,31-Mar,34.42,0.14,,,,63,348.65,2.78,2.78,,Fr1 with HFD,,,,,,,,
,8,M12,31-Mar,28.3,0.32,,,,63,416.03,2.94,2.94,,Free with HFD,,,,,,,,
,9,M13,31-Mar,35.27,0.71,,,,63,328.99,2.71,2.71,,Free with HFD,,,,,,,,
,0,M14,31-Mar,33.38,-0.41,,,,63,328.58,2.06,2.06,,Free with HFD,,,,,,,,
,1,M5,1-Apr,47.26,0.23,,,,64,461.68,2.45,2.45,,Free with HFD,,,,,,,,
,2,M6,1-Apr,45.59,-0.43,,,,64,397.61,1.36,1.36,,Free with HFD,,,,,,,,
,3,M7,1-Apr,48.38,1.15,,,,64,463.56,3.16,3.16,,Fr1 with HFD,,,,,,,,
,4,M8,1-Apr,42.88,0.15,,,,64,469.11,2.6,2.6,,Fr1 with HFD,,,,,,,,
,5,M9,1-Apr,39.77,0.22,,,,64,474.11,2.01,2.01,,Free with HFD,,,,,,,,
,6,M10,1-Apr,31.52,0.09,,,,64,478.27,1.57,1.57,,Free with HFD,,,,,,,,
,7,M11,1-Apr,34.87,0.45,,,,64,346.03,2.62,2.62,,Free with HFD,,,,,,,,
,8,M12,1-Apr,28.16,-0.14,,,,64,412.73,3.3,3.3,,Fr1 with HFD,,,,,,,,
,9,M13,1-Apr,35.03,-0.24,,,,64,326.36,2.63,2.63,,Fr1 with HFD,,,,,,,,
,0,M14,1-Apr,33.56,0.18,,,,64,326,2.58,2.58,,Fr1 with HFD,,,,,,,,
,1,M5,3-Apr,46.79,-0.47,,,,66,456.61,5.07,5.07,,Free with HFD,,,,,,,,
,2,M6,3-Apr,45.01,-0.58,,,,66,393.52,4.09,4.09,,Free with HFD,,,,,,,,
,3,M7,3-Apr,50.33,1.95,,,,66,455.51,8.05,8.05,,Fr1 with HFD,,,,,,,,
,4,M8,3-Apr,43.38,0.5,,,,66,463.02,6.09,6.09,,Fr1 with HFD,,,,,,,,
,5,M9,3-Apr,38.89,-0.88,,,,66,470.51,3.6,3.6,,Free with HFD,,,,,,,,
,6,M10,3-Apr,31.27,-0.25,,,,66,474.76,3.51,3.51,,Free with HFD,,,,,,,,
,7,M11,3-Apr,34.89,0.02,,,,66,340.59,5.44,5.44,,Free with HFD,,,,,,,,
,8,M12,3-Apr,28.56,0.4,,,,66,407.69,5.04,5.04,,Fr1 with HFD,,,,,,,,
,9,M13,3-Apr,34.97,-0.06,,,,66,320.63,5.73,5.73,,Fr1 with HFD,,,,,,,,
,0,M14,3-Apr,33.7,0.14,,,,66,321.42,4.58,4.58,,Fr1 with HFD,,,,,,,,
,1,M5,5-Apr,47.02,0.23,,,,68,451.48,5.13,5.13,,Free with HFD,463.44,,,,,,,
,2,M6,5-Apr,45.12,0.11,,,,68,388.8,4.72,4.72,,Free with HFD,396.11,,,,,,,
,3,M7,5-Apr,51.38,1.05,,,,68,446.32,9.19,9.19,,Fr1 with HFD,468.75,,,,,,,
,4,M8,5-Apr,44.88,1.5,,,,68,456.66,6.36,6.36,,Fr1 with HFD,470.65,,,,,,,
,5,M9,5-Apr,38.69,-0.2,,,,68,466.21,4.3,4.3,,Free with HFD,476.58,,,,,,,
,6,M10,5-Apr,31.61,0.34,,,,68,469.99,4.77,4.77,,Free with HFD,471.03,,,,,,,
,7,M11,5-Apr,35.23,0.34,,,,68,335.02,5.57,5.57,,Free with HFD,335.62,,,,,,,
,8,M12,5-Apr,28.97,0.41,,,,68,401.88,5.81,5.81,,Fr1 with HFD,419.27,,,,,,,
,9,M13,5-Apr,35.97,1,,,,68,313.72,6.91,6.91,,Fr1 with HFD,322.54,,,,,,,
